"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
6.55502476331331e-05,0.986626017392799,0.412,0.097,0.131100495266266,"1","Cpt1a"
6.64712020867911e-05,0.915120501594656,0.412,0.111,0.132942404173582,"1","Elf1"
7.95064727578837e-05,2.16285167552331,0.647,0.272,0.159012945515767,"1","Adk"
8.34170462352223e-05,2.35068672198568,0.647,0.288,0.166834092470445,"1","Trps1"
9.05795577403677e-05,1.64238485573815,0.529,0.172,0.181159115480735,"1","Sppl2a"
9.13390347478806e-05,1.35434091337676,0.471,0.141,0.182678069495761,"1","Nrp1"
0.000102759278560575,1.54591655914666,0.529,0.166,0.20551855712115,"1","Tsc22d4"
0.000122550165372472,1.96777829155743,0.824,0.476,0.245100330744943,"1","Rora"
0.000128395900162114,1.7905155402273,0.412,0.087,0.256791800324227,"1","Phkg1"
0.000138881284902892,1.32920418581084,0.353,0.051,0.277762569805783,"1","Gjb6"
0.000144917376331093,0.93466871425123,0.353,0.047,0.289834752662186,"1","Sdc4"
0.000176431628421015,1.3257933406463,0.471,0.16,0.35286325684203,"1","Sox6"
0.000179587449370424,1.7297354592626,0.471,0.142,0.359174898740848,"1","Mt1"
0.000179891851619197,0.977496626121156,0.412,0.112,0.359783703238394,"1","2810459M11Rik"
0.000211574254022998,1.72303229295021,0.824,0.551,0.423148508045995,"1","Msi2"
0.00021784168505383,1.30206519115769,0.353,0.043,0.435683370107659,"1","Kcnj10"
0.000269005634883829,0.872096551382683,0.412,0.123,0.538011269767657,"1","Nfib"
0.000368641598992056,1.0285485378554,0.353,0.046,0.737283197984112,"1","Prdm16"
0.000413890233855046,2.56593104742986,0.471,0.13,0.827780467710091,"1","Clu"
0.000418537775801738,0.950317985087885,0.353,0.055,0.837075551603475,"1","H2-K1"
0.00050289038675884,0.973470858751651,0.353,0.063,1,"1","Abca1"
0.000505680219914998,1.78781589767602,0.412,0.097,1,"1","Mobp"
0.000533467934482447,1.61856871259959,0.471,0.162,1,"1","Cachd1"
0.00053436223553625,1.38575222147278,0.412,0.123,1,"1","Tmbim1"
0.000547254658359933,1.58611398423537,0.588,0.258,1,"1","Cdh20"
0.000585414647259616,1.29370637737504,0.353,0.062,1,"1","Carhsp1"
0.000670162569826747,1.01835227002433,0.412,0.118,1,"1","Tex9"
0.000686126901949101,1.58491023414687,0.353,0.065,1,"1","Csrp1"
0.000755162055872384,1.64653227829757,0.412,0.092,1,"1","Cnn3"
0.000851582417414515,0.981377660205644,0.529,0.191,1,"1","Alcam"
0.000938751597469803,1.40018929180054,0.588,0.259,1,"1","Auts2"
0.00101718586708065,1.50188556939183,0.353,0.068,1,"1","Peli2"
0.00102273813465061,1.08215845510801,0.412,0.142,1,"1","Arap2"
0.00109768678493883,1.48168173258634,0.353,0.075,1,"1","Nhsl1"
0.00112347536613232,2.14118077449937,0.176,0.034,1,"1","Spef2"
0.00115526637962392,1.31731918145672,0.471,0.17,1,"1","Rhoq"
0.00125068578730633,0.696140431862923,0.412,0.142,1,"1","Rgs6"
0.00140528185281188,0.823247324768036,0.353,0.066,1,"1","Car2"
0.00155003565131772,2.11950633125546,0.529,0.225,1,"1","Gpm6b"
0.00159186129589226,0.933906096144421,0.412,0.136,1,"1","Krcc1"
0.00172121812618316,2.32889906882433,0.353,0.055,1,"1","Atp13a4"
0.00180046288851673,1.20071586553134,0.471,0.188,1,"1","Gulp1"
0.00182564599624329,1.06079044488532,0.471,0.177,1,"1","Eps8"
0.00203850220577012,0.843802846944816,0.412,0.142,1,"1","Gabarap"
0.00204333673206883,0.972467560102625,0.353,0.081,1,"1","Heg1"
0.00216746008679247,1.01144072368018,0.353,0.086,1,"1","Ppfibp2"
0.00221882190422321,1.4256123632918,0.529,0.227,1,"1","Glud1"
0.00255513523662833,1.39378720717712,0.471,0.187,1,"1","Reep3"
0.00257854840584436,1.74797453865082,0.588,0.291,1,"1","Fut9"
0.00258277656362366,0.87636693806027,0.353,0.082,1,"1","Slitrk2"
0.0025999759273026,0.739020850706444,0.412,0.138,1,"1","Hmgn1"
0.00271767249393617,0.719075321594679,0.412,0.159,1,"1","Cdc14a"
0.00272636829105699,1.23854246405418,0.529,0.232,1,"1","Otud4"
0.00280396205812886,1.81385233129049,0.471,0.157,1,"1","Ptn"
0.00308534139805768,0.903050971473846,0.353,0.088,1,"1","Tcf7l2"
0.00312092922184818,0.909898378366594,0.353,0.085,1,"1","Tle2"
0.00316723259150868,1.80159561372827,0.588,0.306,1,"1","Plce1"
0.00368822680750519,0.790560054562718,0.353,0.085,1,"1","Ak4"
0.00369493284202851,1.30076505395726,0.706,0.379,1,"1","Lrp1b"
0.00388241016627838,1.11380669378853,0.353,0.086,1,"1","Casp8ap2"
0.00398008005377757,0.530678890230855,0.412,0.147,1,"1","Btbd11"
